ID,District,Block,CultLand,CropCultLand,LandPreparationMethod,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,NursDetFactor,TransDetFactor,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,OrgFertilizers,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,CropbasalFerts,BasalDAP,BasalUrea,MineralFertAppMethod,FirstTopDressFert,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,Yield
1822,2,6,45.0,40.0,18,49,5.0,3,26,20,2.0,10,47,5.0,0,1,200.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,23,11.452359483017734,20.0,0,9,15.0,18.0,7.375,58.76495726495727,0,1,54,536.6224433388612,41,1,30.0,40.0,1,0.3125,600.0
3127,2,7,26.0,26.0,41,47,5.0,3,19,19,2.0,24,47,5.0,0,1,125.0,3.0,5,29.731589814177564,57.44565217391305,2,2.0,9,15.0,10.0,0,9,20.0,39.0,7.375,58.76495726495727,0,0,63,3.0,79,1,24.0,10.0,1,0.3125,600.0
161,0,2,10.0,10.0,18,29,6.0,3,19,43,2.0,95,133,4.0,0,1,80.0,2.0,6,1.0,1.0,2,2.0,0,4.0,13.35180055401662,2,9,5.0,65.0,7.375,58.76495726495727,1,0,80,480.0,96,1,30.0,10.0,1,0.1481481481481481,225.0
1939,0,2,15.0,15.0,18,15,6.0,3,16,16,2.0,24,47,8.01767745444656,0,1,379.7269076305221,3.247522026431718,5,1.0,57.44565217391305,2,2.0,9,6.0,3.0,0,9,5.0,5.0,7.375,58.76495726495727,0,0,70,240.0,84,0,26.0,10.0,1,0.2222222222222222,468.0
520,2,6,60.0,60.0,24,48,4.0,3,20,19,2.0,10,150,9.0,0,1,300.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,24,15.0,30.0,0,9,30.0,26.0,7.375,58.76495726495727,0,1,68,536.6224433388612,57,1,24.0,40.0,1,0.46875,550.0
3415,3,1,10.0,5.0,15,31,6.0,2,14,5,1.0,35,46,1.0,0,1,379.7269076305221,3.0,0,29.731589814177564,5.0,2,2.0,7,6.0,13.35180055401662,2,9,6.0,30.0,7.375,58.76495726495727,0,0,31,600.0,29,0,30.0,10.0,1,0.1363636363636364,205.0
731,1,4,12.0,12.0,15,52,3.0,3,34,29,4.0,35,47,1.0,1,1,379.7269076305221,6.0,5,1.0,57.44565217391305,2,3.0,0,3.0,13.35180055401662,0,9,4.0,28.0,6.0,67.0,0,0,42,130.0,63,1,25.0,10.0,1,0.1363636363636364,270.0
3387,2,7,80.0,80.0,6,26,4.0,0,27,21,2.706506562412734,24,47,5.0,0,1,379.7269076305221,3.0,5,29.731589814177564,57.44565217391305,2,2.0,9,15.0,8.0,0,9,15.0,35.0,7.375,58.76495726495727,0,1,73,536.6224433388612,61,0,25.0,40.0,1,0.25,490.0
765,1,4,25.0,25.0,15,53,4.0,3,38,32,4.0,35,47,2.0,1,1,379.7269076305221,5.0,0,29.731589814177564,2.0,2,3.0,0,5.0,13.35180055401662,0,9,5.0,20.0,7.0,58.0,0,0,45,130.0,70,1,26.0,10.0,1,0.2272727272727273,425.0
1569,2,6,20.0,10.0,29,43,5.0,3,26,15,3.0,10,24,2.0,0,1,100.0,1.0,5,29.731589814177564,57.44565217391305,2,2.0,23,11.452359483017734,10.0,0,9,5.0,20.0,7.375,58.76495726495727,0,0,36,80.0,39,0,22.0,10.0,1,0.15625,300.0
997,1,4,25.0,14.0,15,50,4.0,2,29,25,1.0,71,133,3.0,0,0,350.0,2.0,0,29.731589814177564,2.0,2,3.0,0,13.0,13.35180055401662,0,9,15.0,25.0,12.0,65.0,0,0,69,1200.0,78,0,22.0,10.0,1,0.5909090909090909,1300.0
2336,2,6,30.0,30.0,15,52,4.0,3,22,23,2.0,10,150,6.0,0,1,180.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,9,9.0,18.0,0,9,18.0,28.0,7.375,58.76495726495727,0,0,52,90.0,106,1,26.0,10.0,1,0.28125,450.0
818,2,6,50.0,50.0,15,52,4.0,3,19,23,2.0,10,150,6.0,0,1,250.0,3.0,5,29.731589814177564,57.44565217391305,2,2.0,9,10.0,15.0,0,9,15.0,40.0,7.375,58.76495726495727,0,1,67,536.6224433388612,55,1,25.0,40.0,1,0.3125,450.0
3027,1,3,29.0,29.0,16,52,4.0,3,18,28,4.0,1,21,5.0,0,1,1000.0,3.0,5,4.0,57.44565217391305,0,3.0,9,11.452359483017734,13.35180055401662,0,4,2.0,30.0,1.0,60.0,0,0,68,90.0,118,0,29.0,10.0,1,0.4545454545454545,800.0
2595,1,3,10.0,10.0,16,28,4.0,3,20,26,4.0,1,34,2.0,0,1,400.0,3.0,5,2.0,57.44565217391305,0,3.0,9,11.452359483017734,13.35180055401662,0,10,2.0,30.0,1.0,60.0,0,0,64,90.0,112,0,29.0,10.0,1,0.1818181818181818,280.0
3771,2,7,23.0,20.0,18,39,2.0,0,27,11,2.706506562412734,24,47,9.0,0,1,379.7269076305221,3.0,0,29.731589814177564,18.0,0,3.0,15,9.0,9.0,0,4,9.0,28.0,12.0,56.0,0,1,85,536.6224433388612,72,1,25.0,40.0,1,0.28125,720.0
2151,0,2,10.0,10.0,18,54,5.0,3,24,27,3.0,1,46,6.0,0,1,150.0,3.0,5,29.731589814177564,57.44565217391305,2,2.0,17,11.452359483017734,13.35180055401662,0,9,10.0,40.0,7.375,58.76495726495727,0,0,60,120.0,73,0,27.0,10.0,1,0.3703703703703703,750.0
2528,3,1,20.0,5.0,6,37,6.0,3,17,10,1.0,111,129,2.0,0,1,379.7269076305221,3.0,0,29.731589814177564,35.0,2,3.0,7,10.0,13.35180055401662,2,9,5.0,30.0,5.0,50.0,0,0,22,1000.0,22,0,30.0,10.0,1,0.2272727272727273,350.0
2836,3,1,10.0,3.0,15,49,6.0,2,29,26,2.0,107,45,8.01767745444656,0,1,379.7269076305221,2.0,29,29.731589814177564,57.44565217391305,2,2.0,7,6.0,13.35180055401662,2,9,6.0,50.0,7.375,58.76495726495727,0,0,38,600.0,40,0,30.0,10.0,1,0.1363636363636364,210.0
2365,2,7,40.0,40.0,18,11,6.0,3,19,13,1.0,24,47,5.0,0,1,200.0,2.0,5,25.0,57.44565217391305,2,2.0,0,13.0,13.35180055401662,0,9,12.0,26.0,7.375,58.76495726495727,0,0,63,560.0,151,1,25.0,10.0,1,0.25,480.0
